Item,,UnitCost
Timber - Sawn softwood 75 x 50mm x 5m,Each,139.00
Toilet Ball Valve complete with floater,Each,217.00
Toilet Cistern (Ceramic) - 9 Litres,Each,733.00
Toilet Cistern (PVC) - 9 Litres,Each,544.00
Toilet roll holder - 150 x 150mm (recessed ceramic),Each,186.00
Toilet seat and cover (Wooden),Each,464.00
Toilet seat and cover(Plastic),Each,247.00
Toilet suite complete complete with PVC cistern,Each,1527.00
Toilet suite complete with Ceramic cistern,Each,2110.00
Towel rail - 600mm long chromium plated,Each,273.00
Two lever mortice door lockset,Each,214.00
Tying wire - 1.6mm 25Kg,Each,1373.00
Unequal Angles 100 x 50 x 8mm angle iron x 6 metres,Each,1328.00
Union Socket - 13mm (½ Inch )PVC,Each,21.00
Union Socket - 13mm (Ã‚Â½ Inch ) GI,Each,26.00
Union Socket - 19mm (¼ inches) PVC,Each,23.00
Union Socket - 19mm(¼ inches) GI,Each,34.00
Union Socket - 38mm (1 ½ inches) GI,Each,73.00
Union Socket - 38mm (1 ½ inches) PVC,Each,46.00
Universal Beams 203 x 133 x25.1kg/m x 13m,Each,14148.00
Universal Beams 254 x 146 x 43 Kg/m x 13m,Each,24194.00
Universal Beams 305 x 165 x 54 Kg/m x13m,Each,26775.00
Universal Beams 457 x 191 x 67kg/mx13m,Each,32890.00
Universal Columns 203 x 203 x 46kg/mx13m,Each,23368.00
Universal Columns 305 x 305 x 96kg/m x13m,Each,52955.00
Universal Columns152 x 152 x 23kg/mx13m,Each,14939.00
Urinal bowl - Ceramic (Automatic),Each,1659.00
Urinal bowl - Ceramic (Manual),Each,569.00
Urinal bowl - Ceramic (Timed),Each,992.00
U-trap - 1¼ inches (32mm) Diameter Rubber,Each,82.00
Vent valve - 110mm Diameter PVC,Each,68.00
Wall filler (Crack Filler) -1kg,kg,36.00
Wash hand basin (WHB) -Ceramic,Each,593.00
Wash hand basin (WHB) -Ceramic complete with pedestal,Each,1196.00
Waste outlet with plug and chain - 1¼ inches (32mm) Diameter,Each,91.00
Waste pipe (PVC( - 32mm Diameter (1Â¼) - 6m,Each,118.00
Waste pipe (PVC) - 50mm diameter (2 inches) -6m,Each,174.00
Waste pipe (PVC) 40mm Diameter ( - 1Â½ inches) -6m,Each,141.00
Waste trap - 1¼ inches ( 32mm) Diameter,Each,82.00
Waste trap - 2 inches (50mm) diameter,Each,103.00
Waste trap -1½ inches ( 40mm) diameter,Each,89.00
Wheel Barrow (heavy duty),Each,2801.00
Wheel Barrow (Standard/light duty),Each,1764.00
Window handle,Each,25.00
Window hinge (pair),Each,22.00
Window peg stay,Each,26.00
Window Putty,kg,31.00
Window slide,Each,33.00
Wire nails 1 inch,Kg,54.00
Wire nails 2 inches,Kg,51.00
Wire nails 3 inches,Kg,51.00
Wire nails 4 inches,Kg,50.00
Wire nails 5 inches,Kg,51.00
Wood preservative 5 liters,Each,62.00
